w,all_sample,one_sample1,one_sample2,50_sample,100_sampe
1.346,908.854482021,718.473238051,501.179859227,1182.75873252,748.652530989
1.348,908.318136437,718.003939245,500.760986164,1182.11893498,748.224630398
1.35,907.782085399,717.53504362,500.342490621,1181.47945033,747.796982936
1.352,907.246328908,717.066551176,499.924372597,1180.84027858,747.369588603
1.354,906.710866964,716.598461913,499.506632093,1180.20141971,746.942447399
1.356,906.175699566,716.130775831,499.089269108,1179.56287374,746.515559323
1.358,905.640826714,715.663492929,498.672283642,1178.92464065,746.088924377
1.36,905.106248409,715.196613209,498.255675695,1178.28672046,745.662542559
1.362,904.571964651,714.730136669,497.839445268,1177.64911316,745.23641387
1.364,904.037975439,714.26406331,497.42359236,1177.01181875,744.81053831
1.366,903.504280773,713.798393133,497.008116971,1176.37483723,744.384915879
1.368,902.970880654,713.333126136,496.593019101,1175.7381686,743.959546576
1.37,902.437775081,712.868262319,496.178298751,1175.10181287,743.534430403
1.372,901.904964055,712.403801684,495.76395592,1174.46577002,743.109567358
1.374,901.372447575,711.93974423,495.349990609,1173.83004007,742.684957442
1.376,900.840225642,711.476089956,494.936402816,1173.19462301,742.260600655
1.378,900.308298255,711.012838864,494.523192543,1172.55951883,741.836496997
1.38,899.776665415,710.549990952,494.11035979,1171.92472755,741.412646467
1.382,899.245327121,710.087546221,493.697904555,1171.29024916,740.989049066
1.384,898.714283373,709.625504671,493.28582684,1170.65608367,740.565704795
1.386,898.183534172,709.163866302,492.874126644,1170.02223106,740.142613652
1.388,897.653079518,708.702631114,492.462803968,1169.38869134,739.719775638
1.39,897.12291941,708.241799106,492.05185881,1168.75546452,739.297190752
1.392,896.593053848,707.78137028,491.641291172,1168.12255058,738.874858996
1.394,896.063482833,707.321344634,491.231101054,1167.48994954,738.452780368
1.396,895.534206365,706.861722169,490.821288454,1166.85766139,738.030954869
1.398,895.005224443,706.402502886,490.411853374,1166.22568613,737.609382499
1.4,894.476537067,705.943686783,490.002795813,1165.59402376,737.188063258
1.402,893.948144238,705.48527386,489.594115772,1164.96267428,736.766997146
1.404,893.420045955,705.027264119,489.18581325,1164.33163769,736.346184163
1.406,892.892242219,704.569657559,488.777888247,1163.70091399,735.925624308
1.408,892.364733029,704.112454179,488.370340763,1163.07050319,735.505317582
1.41,891.837518386,703.655653981,487.963170799,1162.44040528,735.085263985
1.412,891.310598289,703.199256963,487.556378354,1161.81062025,734.665463517
1.414,890.783972739,702.743263126,487.149963428,1161.18114812,734.245916178
1.416,890.257641735,702.28767247,486.743926021,1160.55198888,733.826621967
1.418,889.731605278,701.832484995,486.338266134,1159.92314253,733.407580885
1.42,889.205863367,701.377700701,485.932983766,1159.29460907,732.988792933
1.422,888.680416002,700.923319587,485.528078917,1158.6663885,732.570258109
1.424,888.155263184,700.469341655,485.123551588,1158.03848083,732.151976413
1.426,887.630404913,700.015766903,484.719401778,1157.41088604,731.733947847
1.428,887.105841188,699.562595332,484.315629487,1156.78360415,731.31617241
1.43,886.581572009,699.109826942,483.912234716,1156.15663515,730.898650101
1.432,886.057597377,698.657461733,483.509217464,1155.52997903,730.481380921
1.434,885.533917291,698.205499705,483.106577731,1154.90363581,730.06436487
1.436,885.010531752,697.753940858,482.704315517,1154.27760548,729.647601948
1.438,884.48744076,697.302785191,482.302430823,1153.65188804,729.231092155
1.44,883.964644313,696.852032706,481.900923648,1153.0264835,728.81483549
1.442,883.442142414,696.401683401,481.499793992,1152.40139184,728.398831954
1.444,882.91993506,695.951737277,481.099041856,1151.77661308,727.983081548
1.446,882.398022254,695.502194335,480.698667239,1151.1521472,727.56758427
1.448,881.876403993,695.053054573,480.298670141,1150.52799422,727.15234012
1.45,881.35508028,694.604317991,479.899050562,1149.90415413,726.7373491
1.452,880.834051112,694.155984591,479.499808503,1149.28062693,726.322611208
1.454,880.313316491,693.708054372,479.100943963,1148.65741262,725.908126446
1.456,879.792876417,693.260527333,478.702456942,1148.0345112,725.493894812
1.458,879.272730889,692.813403475,478.304347441,1147.41192267,725.079916307
1.46,878.752879907,692.366682799,477.906615459,1146.78964703,724.666190931
1.462,878.233323472,691.920365303,477.509260996,1146.16768429,724.252718683
1.464,877.714061584,691.474450988,477.112284052,1145.54603443,723.839499565
1.466,877.195094242,691.028939854,476.715684628,1144.92469747,723.426533575
1.468,876.676421446,690.5838319,476.319462723,1144.3036734,723.013820714
1.47,876.158043197,690.139127128,475.923618337,1143.68296222,722.601360982
1.472,875.639959494,689.694825536,475.528151471,1143.06256393,722.189154379
1.474,875.122170338,689.250927126,475.133062124,1142.44247853,721.777200905
1.476,874.604675729,688.807431896,474.738350296,1141.82270602,721.365500559
1.478,874.087475665,688.364339847,474.344015988,1141.20324641,720.954053342
1.48,873.570570149,687.921650979,473.950059198,1140.58409968,720.542859254
1.482,873.053959178,687.479365292,473.556479929,1139.96526585,720.131918295
1.484,872.537642754,687.037482785,473.163278178,1139.34674491,719.721230465
1.486,872.021620877,686.59600346,472.770453947,1138.72853685,719.310795764
1.488,871.505893546,686.154927315,472.378007235,1138.11064169,718.900614191
1.49,870.990460762,685.714254352,471.985938042,1137.49305942,718.490685747
1.492,870.475322524,685.273984569,471.594246368,1136.87579004,718.081010433
1.494,869.960478832,684.834117967,471.202932214,1136.25883356,717.671588247
1.496,869.445929687,684.394654546,470.811995579,1135.64218996,717.262419189
1.498,868.931675089,683.955594306,470.421436464,1135.02585926,716.853503261
1.5,868.417715037,683.516937247,470.031254867,1134.40984144,716.444840461
1.502,867.904049531,683.078683368,469.64145079,1133.79413652,716.036430791
1.504,867.390678572,682.640832671,469.252024233,1133.17874449,715.628274249
1.506,866.877602159,682.203385154,468.862975194,1132.56366535,715.220370836
1.508,866.364820293,681.766340818,468.474303675,1131.9488991,714.812720551
1.51,865.852332974,681.329699663,468.086009675,1131.33444574,714.405323396
1.512,865.3401402,680.893461689,467.698093195,1130.72030527,713.998179369
1.514,864.828241974,680.457626896,467.310554233,1130.10647769,713.591288472
1.516,864.316638293,680.022195284,466.923392791,1129.49296301,713.184650703
1.518,863.80532916,679.587166852,466.536608869,1128.87976122,712.778266063
1.52,863.294314572,679.152541602,466.150202465,1128.26687231,712.372134551
1.522,862.783594531,678.718319532,465.764173581,1127.6542963,711.966256169
1.524,862.273169037,678.284500643,465.378522216,1127.04203318,711.560630915
1.526,861.763038089,677.851084935,464.993248371,1126.43008295,711.155258791
1.528,861.253201688,677.418072408,464.608352045,1125.81844561,710.750139795
1.53,860.743659833,676.985463062,464.223833238,1125.20712116,710.345273928
1.532,860.234412524,676.553256897,463.83969195,1124.59610961,709.940661189
1.534,859.725459762,676.121453912,463.455928182,1123.98541094,709.53630158
1.536,859.216801547,675.690054109,463.072541932,1123.37502517,709.132195099
1.538,858.708437877,675.259057486,462.689533203,1122.76495229,708.728341747
1.54,858.200368755,674.828464044,462.306901992,1122.15519229,708.324741524
1.542,857.692594179,674.398273783,461.924648301,1121.54574519,707.92139443
1.544,857.185114149,673.968486703,461.542772129,1120.93661098,707.518300465
1.546,856.677928666,673.539102804,461.161273476,1120.32778967,707.115459629
1.548,856.171037729,673.110122085,460.780152343,1119.71928124,706.712871921
1.55,855.664441339,672.681544548,460.399408729,1119.1110857,706.310537342
1.552,855.158139495,672.253370191,460.019042634,1118.50320306,705.908455892
1.554,854.652132198,671.825599016,459.639054059,1117.8956333,705.506627571
1.556,854.146419447,671.398231021,459.259443003,1117.28837644,705.105052379
1.558,853.641001243,670.971266207,458.880209466,1116.68143247,704.703730315
1.56,853.135877585,670.544704574,458.501353448,1116.07480139,704.302661381
1.562,852.631048473,670.118546122,458.12287495,1115.4684832,703.901845575
1.564,852.126513908,669.69279085,457.744773971,1114.8624779,703.501282898
1.566,851.62227389,669.26743876,457.367050511,1114.25678549,703.10097335
1.568,851.118328418,668.84248985,456.989704571,1113.65140598,702.700916931
1.57,850.614677492,668.417944122,456.612736149,1113.04633935,702.30111364
1.572,850.111321113,667.993801574,456.236145248,1112.44158562,701.901563478
1.574,849.608259281,667.570062207,455.859931865,1111.83714477,701.502266446
1.576,849.105491994,667.146726021,455.484096002,1111.23301682,701.103222542
1.578,848.603019255,666.723793015,455.108637658,1110.62920176,700.704431767
1.58,848.100841062,666.301263191,454.733556833,1110.02569959,700.30589412
1.582,847.598957415,665.879136548,454.358853528,1109.42251031,699.907609603
1.584,847.097368315,665.457413085,453.984527742,1108.81963393,699.509578214
1.586,846.596073761,665.036092803,453.610579475,1108.21707043,699.111799954
1.588,846.095073754,664.615175702,453.237008727,1107.61481982,698.714274823
1.59,845.594368293,664.194661783,452.863815499,1107.01288211,698.317002821
1.592,845.093957378,663.774551043,452.49099979,1106.41125729,697.919983948
1.594,844.59384101,663.354843485,452.1185616,1105.80994536,697.523218203
1.596,844.094019189,662.935539108,451.74650093,1105.20894631,697.126705588
1.598,843.594491914,662.516637911,451.374817779,1104.60826016,696.730446101
1.6,843.095259186,662.098139896,451.003512147,1104.00788691,696.334439743
1.602,842.596321004,661.680045061,450.632584035,1103.40782654,695.938686514
1.604,842.097677368,661.262353407,450.262033441,1102.80807906,695.543186413
1.606,841.599328279,660.845064934,449.891860367,1102.20864448,695.147939442
1.608,841.101273737,660.428179642,449.522064813,1101.60952278,694.752945599
1.61,840.60351374,660.011697531,449.152646778,1101.01071398,694.358204885
1.612,840.106048291,659.595618601,448.783606261,1100.41221807,693.9637173
1.614,839.608877388,659.179942851,448.414943265,1099.81403505,693.569482844
1.616,839.112001031,658.764670282,448.046657787,1099.21616492,693.175501517
